created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2021-04-15 07:00:57 UTC,97,27.00,"70.70

",,,,
2021-04-15 07:01:13 UTC,98,26.90,"71.50

",,,,
2021-04-15 07:01:28 UTC,99,26.90,"72.00

",,,,
2021-04-15 07:01:48 UTC,100,26.80,"71.90

",,,,
2021-04-15 07:02:04 UTC,101,26.70,"72.00

",,,,
2021-04-15 07:02:21 UTC,102,26.70,"72.30

",,,,
2021-04-15 07:02:37 UTC,103,26.60,"72.50

",,,,
2021-04-15 07:02:54 UTC,104,26.50,"72.60

",,,,
2021-04-15 07:03:09 UTC,105,26.50,"73.00

",,,,
2021-04-15 07:03:25 UTC,106,26.50,"74.40

",,,,
2021-04-15 07:03:40 UTC,107,26.50,"73.40

",,,,
2021-04-15 07:03:56 UTC,108,26.60,"81.90

",,,,
2021-04-15 07:04:12 UTC,109,27.10,"83.30

",,,,
2021-04-15 07:04:33 UTC,110,27.50,"91.50

",,,,
2021-04-15 07:04:49 UTC,111,28.20,"73.80

",,,,
2021-04-15 07:05:06 UTC,112,28.00,"69.50

",,,,
2021-04-15 07:05:22 UTC,113,27.90,"81.70

",,,,
2021-04-15 07:05:37 UTC,114,28.20,"87.30

",,,,
2021-04-15 07:05:55 UTC,115,28.60,"87.60

",,,,
2021-04-15 07:06:11 UTC,116,28.90,"78.90

",,,,
2021-04-15 07:06:26 UTC,117,28.80,"68.20

",,,,
2021-04-15 07:06:42 UTC,118,28.50,"66.30

",,,,
2021-04-15 07:06:58 UTC,119,28.20,"66.30

",,,,
2021-04-15 07:07:13 UTC,120,28.00,"66.70

",,,,
2021-04-15 07:07:29 UTC,121,27.70,"67.30

",,,,
2021-04-15 07:07:45 UTC,122,27.50,"68.00

",,,,
2021-04-15 07:08:09 UTC,123,27.40,"68.60

",,,,
2021-04-15 07:08:29 UTC,124,27.10,"69.70

",,,,
2021-04-15 07:08:50 UTC,125,26.90,"69.80

",,,,
2021-04-15 07:09:10 UTC,126,26.80,"70.30

",,,,
2021-04-15 07:09:34 UTC,127,26.70,"70.60

",,,,
2021-04-15 07:09:55 UTC,128,26.50,"71.60

",,,,
2021-04-15 07:10:14 UTC,129,26.40,"71.70

",,,,
2021-04-15 07:10:34 UTC,130,26.30,"71.90

",,,,
2021-04-15 07:10:49 UTC,131,26.20,"71.80

",,,,
2021-04-15 07:11:10 UTC,132,26.10,"72.30

",,,,
2021-04-15 07:11:31 UTC,133,26.00,"73.50

",,,,
2021-04-15 07:11:51 UTC,134,26.00,"73.10

",,,,
2021-04-15 07:12:11 UTC,135,25.90,"73.50

",,,,
2021-04-15 07:12:30 UTC,136,25.90,"73.50

",,,,
2021-04-15 07:12:53 UTC,137,25.80,"73.50

",,,,
2021-04-15 07:13:11 UTC,138,25.80,"73.50

",,,,
2021-04-15 07:13:31 UTC,139,25.70,"73.50

",,,,
2021-04-15 07:13:50 UTC,140,25.70,"73.80

",,,,
2021-04-15 07:14:10 UTC,141,25.70,"74.00

",,,,
2021-04-15 07:14:37 UTC,142,25.70,"74.80

",,,,
2021-04-15 07:14:57 UTC,143,25.70,"76.40

",,,,
2021-04-15 07:15:17 UTC,144,25.80,"75.30

",,,,
2021-04-15 07:15:33 UTC,145,26.40,"90.30

",,,,
2021-04-15 07:15:49 UTC,146,27.30,"91.50

",,,,
2021-04-15 07:16:05 UTC,147,28.10,"91.40

",,,,
2021-04-15 07:16:20 UTC,148,28.80,"81.90

",,,,
2021-04-15 07:16:41 UTC,149,28.70,"68.70

",,,,
2021-04-15 07:17:02 UTC,150,28.30,"66.50

",,,,
2021-04-15 07:17:24 UTC,151,27.90,"66.50

",,,,
2021-04-15 07:17:44 UTC,152,27.60,"66.50

",,,,
2021-04-15 07:18:03 UTC,153,27.40,"67.80

",,,,
2021-04-15 07:18:24 UTC,154,27.10,"68.40

",,,,
2021-04-15 07:18:46 UTC,155,27.00,"68.90

",,,,
2021-04-15 07:19:02 UTC,156,26.70,"69.60

",,,,
2021-04-15 07:19:19 UTC,157,26.60,"70.00

",,,,
2021-04-15 07:19:36 UTC,158,26.60,"70.70

",,,,
2021-04-15 07:19:54 UTC,159,26.50,"71.00

",,,,
2021-04-15 07:20:11 UTC,160,26.40,"71.00

",,,,
2021-04-15 07:20:28 UTC,161,26.30,"71.30

",,,,
2021-04-15 07:20:51 UTC,162,26.20,"72.00

",,,,
2021-04-15 07:21:07 UTC,163,26.10,"72.50

",,,,
2021-04-15 07:21:24 UTC,164,26.10,"73.10

",,,,
2021-04-15 07:21:46 UTC,165,26.00,"73.30

",,,,
2021-04-15 07:22:15 UTC,166,26.10,"81.90

",,,,
2021-04-15 07:22:30 UTC,167,27.30,"90.40

",,,,
2021-04-15 07:22:49 UTC,168,28.80,"92.40

",,,,
2021-04-15 07:23:05 UTC,169,29.70,"92.10

",,,,
2021-04-15 07:23:23 UTC,170,30.40,"90.70

",,,,
2021-04-15 07:23:42 UTC,171,30.90,"89.40

",,,,
2021-04-15 07:23:58 UTC,172,31.20,"89.00

",,,,
2021-04-15 07:24:14 UTC,173,31.50,"86.60

",,,,
2021-04-15 07:24:32 UTC,174,31.80,"85.20

",,,,
2021-04-15 07:24:50 UTC,175,32.10,"84.80

",,,,
2021-04-15 07:25:14 UTC,176,32.20,"84.20

",,,,
2021-04-15 07:25:58 UTC,177,31.40,"56.90

",,,,
2021-04-15 07:26:14 UTC,178,30.90,"57.60

",,,,
2021-04-15 07:26:31 UTC,179,30.50,"58.20

",,,,
2021-04-15 07:27:00 UTC,180,29.80,"60.30

",,,,
2021-04-15 07:27:16 UTC,181,29.40,"60.80

",,,,
2021-04-15 07:27:32 UTC,182,29.10,"60.60

",,,,
2021-04-15 07:28:01 UTC,183,28.60,"61.80

",,,,
2021-04-15 07:28:30 UTC,184,28.10,"63.30

",,,,
2021-04-15 07:28:59 UTC,185,27.70,"64.50

",,,,
2021-04-15 07:29:21 UTC,186,27.40,"65.50

",,,,
2021-04-15 07:29:41 UTC,187,27.20,"66.50

",,,,
2021-04-15 07:30:04 UTC,188,27.00,"66.90

",,,,
2021-04-15 07:30:22 UTC,189,26.90,"67.60

",,,,
2021-04-15 07:30:44 UTC,190,26.70,"67.50

",,,,
2021-04-15 07:31:01 UTC,191,26.70,"67.80

",,,,
2021-04-15 07:31:31 UTC,192,26.60,"67.90

",,,,
2021-04-15 07:31:49 UTC,193,26.50,"68.20

",,,,
2021-04-15 07:32:07 UTC,194,26.50,"68.30

",,,,
2021-04-15 07:32:23 UTC,195,26.40,"68.60

",,,,
2021-04-15 07:32:39 UTC,196,26.30,"69.30

",,,,
2021-04-15 07:32:56 UTC,197,26.30,"69.00

",,,,
2021-04-15 07:33:12 UTC,198,26.20,"69.20

",,,,
2021-04-15 07:33:32 UTC,199,26.10,"69.30

",,,,
2021-04-15 07:33:48 UTC,200,26.10,"69.60

",,,,
2021-04-15 07:34:07 UTC,201,26.10,"69.90

",,,,
2021-04-15 07:34:23 UTC,202,26.10,"70.00

",,,,
2021-04-15 07:34:51 UTC,203,26.10,"70.30

",,,,
2021-04-15 07:35:06 UTC,204,26.00,"70.50

",,,,
2021-04-15 07:35:26 UTC,205,26.00,"70.60

",,,,
2021-04-15 07:35:49 UTC,206,26.00,"70.50

",,,,
2021-04-15 07:36:09 UTC,207,26.00,"73.30

",,,,
2021-04-15 07:36:27 UTC,208,26.90,"91.80

",,,,
2021-04-15 07:36:47 UTC,209,27.30,"70.10

",,,,
2021-04-15 07:37:15 UTC,210,27.20,"65.50

",,,,
2021-04-15 07:37:31 UTC,211,27.00,"66.00

",,,,
2021-04-15 07:37:52 UTC,212,27.50,"87.50

",,,,
2021-04-15 07:38:07 UTC,213,28.30,"91.70

",,,,
2021-04-15 07:38:23 UTC,214,28.60,"90.10

",,,,
2021-04-15 07:38:38 UTC,215,29.00,"85.70

",,,,
2021-04-15 07:38:54 UTC,216,29.20,"66.40

",,,,
2021-04-15 07:39:09 UTC,217,29.10,"63.00

",,,,
2021-04-15 07:39:24 UTC,218,28.90,"62.70

",,,,
2021-04-15 07:39:58 UTC,219,28.70,"64.00

",,,,
2021-04-15 07:40:13 UTC,220,28.80,"81.30

",,,,
2021-04-15 07:40:30 UTC,221,29.10,"85.90

",,,,
2021-04-15 07:40:55 UTC,222,29.60,"87.30

",,,,
2021-04-15 07:41:13 UTC,223,30.00,"88.00

",,,,
2021-04-15 07:41:28 UTC,224,30.20,"88.30

",,,,
2021-04-15 07:41:47 UTC,225,30.50,"88.80

",,,,
2021-04-15 07:42:03 UTC,226,30.70,"89.00

",,,,
2021-04-15 07:42:24 UTC,227,31.00,"87.80

",,,,
2021-04-15 07:42:40 UTC,228,31.20,"70.40

",,,,
2021-04-15 07:43:02 UTC,229,30.80,"60.50

",,,,
2021-04-15 07:43:17 UTC,230,30.70,"60.70

",,,,
2021-04-15 07:43:34 UTC,231,30.80,"85.50

",,,,
2021-04-15 07:43:52 UTC,232,31.10,"68.10

",,,,
2021-04-15 07:44:11 UTC,233,31.10,"62.20

",,,,
2021-04-15 07:44:27 UTC,234,31.10,"63.80

",,,,
2021-04-15 07:44:43 UTC,235,30.70,"58.90

",,,,
2021-04-15 07:44:58 UTC,236,30.40,"58.90

",,,,
2021-04-15 07:47:18 UTC,237,28.30,"64.10

",,,,
2021-04-15 07:47:36 UTC,238,28.10,"64.80

",,,,
2021-04-15 07:47:52 UTC,239,27.90,"65.40

",,,,
2021-04-15 07:48:09 UTC,240,27.70,"66.10

",,,,
2021-04-15 07:48:25 UTC,241,27.60,"66.60

",,,,
